URI,rdf:type,rico:hasContentOfType,rico:hasInstantiation,owl:sameAs,rdfs:label,rico:title,rdfs:comment,rdfs:seeAlso,vocab:inventoryNumber,vocab:archivalReferenceCode
<http://data.qdmtl.ca/record/VM094-C196-0058>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0058/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0058/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0058>,"""VM094-C196-0058""","""VM094-C196-0058""",,,"""9""","""VM094-C196-0058"""
<http://data.qdmtl.ca/record/VM094-C196-0059>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0059/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0059/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0059>,"""VM094-C196-0059""","""VM094-C196-0059""",,,"""9""","""VM094-C196-0059"""
<http://data.qdmtl.ca/record/VM094-C196-0060>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0060/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0060/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0060>,"""VM094-C196-0060""","""VM094-C196-0060""",,,"""14""","""VM094-C196-0060"""
<http://data.qdmtl.ca/record/VM094-C196-0061>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0061/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0061/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0061>,"""VM094-C196-0061""","""VM094-C196-0061""",,,"""14""","""VM094-C196-0061"""
<http://data.qdmtl.ca/record/VM094-C196-0062>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0062/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0062/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0062>,"""VM094-C196-0062""","""VM094-C196-0062""",,,"""16""","""VM094-C196-0062"""
<http://data.qdmtl.ca/record/VM094-C196-0063>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0063/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0063/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0063>,"""VM094-C196-0063""","""VM094-C196-0063""",,,"""16""","""VM094-C196-0063"""
<http://data.qdmtl.ca/record/VM094-C196-0064>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0064/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0064/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0064>,"""VM094-C196-0064""","""VM094-C196-0064""",,,"""16""","""VM094-C196-0064"""
<http://data.qdmtl.ca/record/VM094-C196-0064a>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0064a/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0064a/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0064a>,"""VM094-C196-0064a""","""VM094-C196-0064a""",,,"""16""","""VM094-C196-0064a"""
<http://data.qdmtl.ca/record/VM094-C196-0065>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0065/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0065/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0065>,"""VM094-C196-0065""","""VM094-C196-0065""",,,"""16""","""VM094-C196-0065"""
<http://data.qdmtl.ca/record/VM094-C196-0066>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0066/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0066/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0066>,"""VM094-C196-0066""","""VM094-C196-0066""",,,"""15""","""VM094-C196-0066"""
<http://data.qdmtl.ca/record/VM094-C196-0067>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0067/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0067/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0067>,"""VM094-C196-0067""","""VM094-C196-0067""",,,"""15""","""VM094-C196-0067"""
<http://data.qdmtl.ca/record/VM094-C196-0068>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0068/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0068/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0068>,"""VM094-C196-0068""","""VM094-C196-0068""",,,"""15""","""VM094-C196-0068"""
<http://data.qdmtl.ca/record/VM094-C196-0069>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0069/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0069/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0069>,"""VM094-C196-0069""","""VM094-C196-0069""",,,"""15""","""VM094-C196-0069"""
<http://data.qdmtl.ca/record/VM094-C196-0070>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0070/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0070/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0070>,"""VM094-C196-0070""","""VM094-C196-0070""",,,"""15""","""VM094-C196-0070"""
<http://data.qdmtl.ca/record/VM094-C196-0071>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0071/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0071/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0071>,"""VM094-C196-0071""","""VM094-C196-0071""",,,"""15""","""VM094-C196-0071"""
<http://data.qdmtl.ca/record/VM094-C196-0072>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0072/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0072/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0072>,"""VM094-C196-0072""","""VM094-C196-0072""",,,"""9""","""VM094-C196-0072"""
<http://data.qdmtl.ca/record/VM094-C196-0073>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0073/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0073/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0073>,"""VM094-C196-0073""","""VM094-C196-0073""",,,"""9""","""VM094-C196-0073"""
<http://data.qdmtl.ca/record/VM094-C196-0074>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0074/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0074/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0074>,"""VM094-C196-0074""","""VM094-C196-0074""",,,"""9""","""VM094-C196-0074"""
<http://data.qdmtl.ca/record/VM094-C196-0075>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0075/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0075/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0075>,"""VM094-C196-0075""","""VM094-C196-0075""",,,"""9""","""VM094-C196-0075"""
<http://data.qdmtl.ca/record/VM094-C196-0076>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0076/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0076/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0076>,"""VM094-C196-0076""","""VM094-C196-0076""",,,"""9""","""VM094-C196-0076"""
<http://data.qdmtl.ca/record/VM094-C196-0077>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0077/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0077/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0077>,"""VM094-C196-0077""","""VM094-C196-0077""",,,"""9""","""VM094-C196-0077"""
<http://data.qdmtl.ca/record/VM094-C196-0078>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0078/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0078/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0078>,"""VM094-C196-0078""","""VM094-C196-0078""",,,"""9""","""VM094-C196-0078"""
<http://data.qdmtl.ca/record/VM094-C196-0079>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0079/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0079/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0079>,"""VM094-C196-0079""","""VM094-C196-0079""",,,"""9""","""VM094-C196-0079"""
